INFO  - 2018-03-24 09:10:45.083; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2018-03-24 09:10:45.093; org.apache.solr.schema.IndexSchema; Reading Solr Schema from E:\mysite\solr-4.10.4\example\solr\collection1\conf\schema.xml
INFO  - 2018-03-24 09:10:45.131; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2018-03-24 09:10:45.578; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2018-03-24 09:10:45.595; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2018-03-24 09:10:45.599; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2018-03-24 09:10:45.732; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2018-03-24 09:10:45.737; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2018-03-24 09:10:45.817; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir E:\mysite\solr-4.10.4\example\solr\collection1\
INFO  - 2018-03-24 09:10:45.835; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2018-03-24 09:10:45.845; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at E:\mysite\solr-4.10.4\example\solr\collection1\, dataDir=E:\mysite\solr-4.10.4\example\solr\collection1\data\
INFO  - 2018-03-24 09:10:45.848; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2018-03-24 09:10:45.853; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2018-03-24 09:10:45.854; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2018-03-24 09:10:45.868; org.apache.solr.core.CachingDirectoryFactory; return new directory for E:\mysite\solr-4.10.4\example\solr\collection1\data
INFO  - 2018-03-24 09:10:45.871; org.apache.solr.core.SolrCore; New index directory detected: old=null new=E:\mysite\solr-4.10.4\example\solr\collection1\data\index/
WARN  - 2018-03-24 09:10:45.873; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'E:\mysite\solr-4.10.4\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2018-03-24 09:10:45.887; org.apache.solr.core.CachingDirectoryFactory; return new directory for E:\mysite\solr-4.10.4\example\solr\collection1\data\index
INFO  - 2018-03-24 09:10:45.931; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@E:\mysite\solr-4.10.4\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@E:\mysite\solr-4.10.4\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2018-03-24 09:10:45.932; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2018-03-24 09:10:45.937; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2018-03-24 09:10:45.938; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2018-03-24 09:10:45.939; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2018-03-24 09:10:45.942; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2018-03-24 09:10:45.943; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2018-03-24 09:10:46.020; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2018-03-24 09:10:46.028; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-24 09:10:46.029; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-24 09:10:46.030; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-24 09:10:46.031; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-24 09:10:46.038; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.039; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.041; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2018-03-24 09:10:46.042; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.043; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2018-03-24 09:10:46.045; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-24 09:10:46.046; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2018-03-24 09:10:46.047; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2018-03-24 09:10:46.049; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2018-03-24 09:10:46.050; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2018-03-24 09:10:46.051; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
